"Name","Min_Date","Max_Date","Obs","TIR","MaxDD","MAR","Our","rank"
"Winton Futures Fund Ltd - Class B (USD)",2012-01-31,2016-11-30,59,0.0307660341173681,0.0835171899228802,0.368379661070703,0,3
"Abraham Trading Company",2012-01-31,2016-11-30,59,0.0167426582955714,0.118830862536399,0.140894864669042,0,18
"Altis Partners (GFP Composite)",2012-01-31,2016-11-30,59,-0.060875545188617,0.314656175329921,-0.193466869432288,0,32
"Aspect Capital (Div. Fund)",2012-01-31,2016-11-30,59,0.0207903256968749,0.221867568241694,0.0937060150865616,0,21
"Beach Horizon LLP",2012-01-31,2016-11-30,59,0.0263054080921379,0.263936645736039,0.0996656149008036,0,20
"Campbell & Co. (Trend Following)",2012-01-31,2016-11-30,59,0.0356405148524459,0.209347743397236,0.170245517214954,0,15
"Chesapeake Capital Corp. (Divers.)",2012-01-31,2016-11-30,59,0.0357120463519534,0.158041431954273,0.225966355216815,0,11
"Clarke Cap'l Mgmt. (Worldwide)",2012-01-31,2016-11-30,59,-0.0358369981289076,0.396895197921532,-0.0902933527958499,0,30
"Covenant Capital Mgmt (Original)",2012-01-31,2016-10-31,58,0.00666137518735921,0.210065146456174,0.0317109968014088,0,25
"DUNN Capital Mgmt. (WMA)",2012-01-31,2016-11-30,59,0.0890349046347096,0.232068840411437,0.383657299604975,0,2
"Drury Capital (Diversified)",2012-01-31,2016-11-30,59,0.0366641069927409,0.153495862108423,0.238860556168237,0,9
"EMC Capital Advisors (Classic)",2012-01-31,2016-11-30,59,0.0134378362506278,0.273167142842078,0.0491927254164546,0,24
"Eckhardt Trading (Standard)",2012-01-31,2016-11-30,59,0.0247942929190965,0.15031950400431,0.164943951108204,0,16
"Estlander & Partners (Alpha Trend)",2012-01-31,2016-11-30,59,-0.00032811870782401,0.162761062960019,-0.00201595333587007,0,27
"Graham Capital Mgmt (K4D-15V)",2012-01-31,2016-11-30,59,0.051016129540105,0.155739610826042,0.327573244016187,0,4
"Hawksbill Capital Mgmt. (Gl. Divers.)",2012-01-31,2016-11-30,59,-0.0383709738920414,0.428372052389672,-0.0895739432065864,0,29
"Hyman Beck (Global)",2012-01-31,2016-11-30,59,0.0122161368570686,0.235423443546016,0.0518900610451771,0,23
"ISAM Systematic Trend - USD",2012-01-31,2016-11-30,59,0.0424778235877787,0.292504705571234,0.145220992273692,0,17
"Lynx Asset Mgmt (Lynx)",2012-01-31,2016-11-30,59,0.0370680618973485,0.200211223714478,0.185144774651652,0,13
"Man (AHL Div. plc)",2012-01-31,2016-11-30,59,0.0228865906259355,0.182578172007566,0.125352282664912,0,19
"Millburn Ridgefield Corp (Divers.)",2012-01-31,2016-11-30,59,0.0404812789661277,0.137702674331662,0.293975982402689,0,6
"Mulvaney Capital Mgmt. (Gl. Markets)",2012-01-31,2016-11-30,59,0.104382666899209,0.355416221608425,0.293691341455459,0,7
"Quantica Capl (Managed Futures)",2012-01-31,2016-11-30,59,0.0147531226658899,0.182645542595047,0.0807746110651046,0,22
"Rabar Market Research (Diversified)",2012-01-31,2016-11-30,59,-0.0126135690659576,0.207468173988612,-0.0607976096933785,0,28
"Sunrise Cap'l Partners (Evolution)",2013-01-31,2016-11-30,47,0.0604381228482898,0.116193299895825,0.520151531133694,0,1
"Systematica (BlueTrend Fund)",2012-01-31,2016-11-30,59,-0.0195747357869759,0.210914779447459,-0.0928087440731112,0,31
"Tactical Invest. Mgmt. (Inst'l Comm)",2012-01-31,2016-11-30,59,0.0748617861188254,0.248883164471627,0.300790880241961,0,5
"Transtrend (DTP/Enhanced Risk - USD)",2012-01-31,2016-11-30,59,0.0383982371266729,0.132686516231405,0.289390649609841,0,8
"Walsh, Mark J. & Co. (Standard)",2012-01-31,2016-11-30,59,0.00291753312952281,0.267041090622954,0.0109254089800067,0,26
"BREAKOUTS",2012-01-31,2016-11-30,59,0.0439877939853937,0.257888011134153,0.170569363779037,1,14
"DONCHIAN",2012-01-31,2016-11-30,59,0.0504804460934078,0.253280486206447,0.199306495535789,1,12
"BREAKOUTS+DONCHIAN",2012-01-31,2016-11-30,59,0.0486300898313337,0.212496890698088,0.228850830106623,1,10
